chembl_id,smiles,Prediccion_Activo,Probabilidad_Activo
CHEMBL18460,O=C(O)c1ccc(COc2ccc(OCCCc3nnn[nH]3)cc2)nc1,1,0.525
CHEMBL287179,O=C1/C(=C/c2ccc(Br)cc2)CCc2ccccc21,1,0.525
CHEMBL417601,Cn1c(=O)[nH]c2[nH]c(-c3ccc(S(=O)(=O)Oc4ccc([N+](=O)[O-])cc4)cc3)nc2c1=O,1,0.525
CHEMBL22847,N#Cc1ccc(Cn2ccnc2)cc1Oc1cccc(Cl)c1,1,0.525
CHEMBL281084,N#Cc1ccccc1OCC(O)CNCCNC(=O)Cc1cc2ccccc2[nH]1,1,0.525
CHEMBL433620,COc1cc2c(cc1OC)C(c1ccc(C#N)cc1)=NNC(=O)C2,1,0.525
CHEMBL23011,N#Cc1cccc(Oc2cc(Cn3ccnc3)ccc2C#N)c1,1,0.525
CHEMBL25500,N#Cc1ccc(Cn2ccnc2)cc1Oc1ccc(Cl)c(Cl)c1,1,0.525
CHEMBL18228,CCOC(=O)c1ccc(COc2ccc(OCCCc3nnn[nH]3)cc2)nc1,1,0.525
CHEMBL6296,CN(C)c1cccc2c(S(=O)(=O)Nc3ncc(Br)nc3C#N)cccc12,1,0.525
CHEMBL53037,N#Cc1ccc2cc1Oc1ccc3cccc(c3c1)C(=O)NCCCNCc1cncn1C2,1,0.525
CHEMBL279066,COc1ccc(Oc2cc(Cn3ccnc3)ccc2C#N)cc1,1,0.525
CHEMBL18748,FC(F)(F)CCCCCCCOc1ccc(-c2nnn(CCCCc3nnn[nH]3)n2)cc1,1,0.525
CHEMBL19420,C[C@@H](/N=c1\c(O)c(O)\c1=N/c1ccc(C#N)c(Cl)c1)C(C)(C)C,1,0.525
CHEMBL82832,COc1cc2ncc(C#N)c(Nc3cc(OC)c(OC)c(OC)c3C)c2cc1OC,1,0.52
CHEMBL310586,N#Cc1ccc2cc1Oc1cccc(c1)-c1ccccc1N1CCC(NCc3cncn3C2)C1=O,1,0.52
CHEMBL45887,CCn1cc(C(=O)O)c(=O)c2cc(F)c(-c3cc(C)nc(C)c3)cc21,1,0.52
CHEMBL48870,CCCc1nc(NCc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)sc1C(=O)O,1,0.52
CHEMBL65799,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2cc(C#N)oc12,1,0.52
CHEMBL49666,Cc1cc(-c2ccc3c(=O)c(C(=O)O)cn4c3c2OC[C@@H]4C)cc(C)n1,1,0.52
CHEMBL19808,Cc1noc(NS(=O)(=O)c2ccsc2C(=O)Nc2cc3c(cc2C#N)OCO3)c1Cl,1,0.52
CHEMBL33611,CCCn1c(=O)n(C)c(=O)c2[nH]c(-c3ccc(C#N)cc3)nc21,1,0.52
CHEMBL31398,O=C(O)c1c(O)nnc(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,1,0.52
CHEMBL25542,N#Cc1ccc(Cn2ccnc2)cc1Oc1ccc(Cl)cc1,1,0.52
CHEMBL277489,N#Cc1ccc(Cn2ccnc2)cc1Oc1cccc2ccccc12,1,0.52
CHEMBL430339,CCCCc1nn(CC)c(C(=O)O)c1Cc1ccc(-c2ccccc2C(=O)O)cc1,1,0.52
CHEMBL8886,Cn1nnnc1C(/C=C/C(O)CC(O)CC(=O)[O-])=C/c1ccc(F)cc1.[Na+],1,0.52
CHEMBL8800,Cn1nnnc1C(=C\c1ccc(F)cc1)/C=C/C(O)CC(O)CC(=O)[O-].[Na+],1,0.52
CHEMBL291308,COc1ccc(-c2cc(C#N)c(O)nc2-c2ccc(N(C)C)cc2)cc1,1,0.52
CHEMBL68919,CCCCc1nn(CCCC)c(=O)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,1,0.52
CHEMBL53636,O=C(O)c1ccc(C(=O)O)c(-c2ccc3c(c2)OC[C@H](Cc2ccccc2)[C@H]3O)c1,1,0.52
CHEMBL52601,CCCc1nc(CO)c(CO)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,1,0.52
CHEMBL442552,N#Cc1ccc2cc1Oc1ccc3c(c1)[C@@H](CCC3)N1CCC(NCc3cncn3C2)C1=O,1,0.52
CHEMBL55694,COc1ccc(-c2cc(C#N)c(OC)nc2-c2ccc(N(C)C)cc2)cc1,1,0.52
CHEMBL8495,CCCn1c(=O)[nH]c2[nH]c(-c3ccc(S(=O)(=O)Oc4cccc([N+](=O)[O-])c4)cc3)nc2c1=O,1,0.515
CHEMBL430279,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2occc2C(=O)O)cc1,1,0.515
CHEMBL293402,COC(=O)C1=C(C)N=C(C)/C(=C(\O)OC)C1c1ccccc1C#N,1,0.515
CHEMBL70374,N#Cc1ccc(Nc2nc(N)nc(Oc3c(Cl)cc(Cl)cc3Cl)n2)cc1,1,0.515
CHEMBL67211,CC(C)n1cc(-c2ccc(Oc3ccccc3C(=O)O)cc2)c2c(N)ncnc21,1,0.515
CHEMBL49579,CCCCN(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)c1c(C(=O)O)cnn1C,1,0.515
CHEMBL289381,CCC(C#N)C(=O)N[C@H](C)[C@@H](Oc1cc(F)ccc1C#N)c1ccccc1,1,0.515
CHEMBL290308,COc1ccc(C)c(Nc2c(C#N)cnc3cc(OCC4CCN(C)CC4)c(OC)cc23)c1,1,0.515
CHEMBL38802,CN1CCN(c2nc(COC(c3ccc(C#N)cc3)c3cncn3C)ccc2C#N)CC1,1,0.515
CHEMBL300206,N#Cc1ccc2cc1Oc1ccc3cccc(c3c1)C(=O)NCCNC(=O)Cc1cncn1C2,1,0.515
CHEMBL23916,COc1cc2c(cc1OC)C(c1ccc(C#N)cc1)=NN(C)C(=O)C2,1,0.515
CHEMBL28239,Cc1cc(CCCOc2c(C)cc(-c3noc(C#N)n3)cc2C)on1,1,0.515
CHEMBL16569,N#CCCn1nc(-c2ccc(OCc3ccc(Cl)cc3)cc2)oc1=O,1,0.515
CHEMBL16697,Cc1ccc(COc2ccc(-c3nn(CCC#N)c(=O)o3)cc2)cc1,1,0.515
CHEMBL275401,C[C@@H](/N=c1\c(O)c(O)\c1=N/c1ccc(C#N)c2c1CCCC2)C(C)(C)C,1,0.515
